WandB initialized: royal-water-1
Device: cuda
Dataset: affi
Model Type: amag
Learning Rate: 0.001
Loading data...
Saved training stats to weights/stats_affi.npz
Train samples: 788
Val samples: 99
Computing Pearson Correlation Matrix...
Computed Pearson Matrix with shape: torch.Size([239, 239])
Initializing model (amag)...
Using WeightedMSELoss (alpha=1.0)
Curriculum enabled: Huber Loss (delta=1.0) -> weighted_mse at epoch 120
Starting training...
Curriculum: Using HuberLoss for first 120 epochs, then WeightedMSELoss
Epoch 0, Train Loss: 0.029162, Val Loss:0.013836
Epoch 10, Train Loss: 0.008075, Val Loss:0.007410
Epoch 20, Train Loss: 0.007698, Val Loss:0.007185
Epoch 30, Train Loss: 0.007699, Val Loss:0.006998
Epoch 40, Train Loss: 0.007571, Val Loss:0.007354
Epoch 50, Train Loss: 0.007264, Val Loss:0.006942
Epoch 60, Train Loss: 0.007165, Val Loss:0.006824
Epoch 70, Train Loss: 0.007149, Val Loss:0.006810
Epoch 80, Train Loss: 0.007053, Val Loss:0.006825
Epoch 90, Train Loss: 0.007054, Val Loss:0.006830
Epoch 100, Train Loss: 0.006930, Val Loss:0.006808
Epoch 110, Train Loss: 0.006905, Val Loss:0.006782
Curriculum: Switching loss function from HuberLoss to WeightedMSELoss
Epoch 120, Train Loss: 0.019202, Val Loss:0.016536
Epoch 130, Train Loss: 0.019211, Val Loss:0.016910
Epoch 140, Train Loss: 0.018635, Val Loss:0.016787
Epoch 150, Train Loss: 0.018523, Val Loss:0.016544
Epoch 160, Train Loss: 0.018435, Val Loss:0.016782
Epoch 170, Train Loss: 0.018374, Val Loss:0.016577
Epoch 180, Train Loss: 0.018443, Val Loss:0.016525
Epoch 190, Train Loss: 0.018378, Val Loss:0.016460
Epoch 200, Train Loss: 0.018282, Val Loss:0.016403
Epoch 210, Train Loss: 0.018252, Val Loss:0.016444
Epoch 220, Train Loss: 0.018187, Val Loss:0.016403
Epoch 230, Train Loss: 0.018270, Val Loss:0.016346
Epoch 240, Train Loss: 0.018169, Val Loss:0.016379
Epoch 250, Train Loss: 0.018181, Val Loss:0.016392
Epoch 260, Train Loss: 0.018062, Val Loss:0.016365
Epoch 270, Train Loss: 0.018121, Val Loss:0.016372
Epoch 280, Train Loss: 0.018189, Val Loss:0.016348
Epoch 290, Train Loss: 0.018117, Val Loss:0.016384
Epoch 299, Train Loss: 0.018089, Val Loss:0.016338
