WandB initialized: misty-pond-9
Device: cuda
Dataset: beignet
Model Type: dlinear_gnn
Learning Rate: 0.001
Loading data...
Saved training stats to weights/stats_beignet_dlinear_gnn.npz
Train samples: 560
Val samples: 70
Computing Pearson Correlation Matrix...
Computed Pearson Matrix with shape: torch.Size([89, 89])
Initializing model (dlinear_gnn)...
Using WeightedMSELoss (alpha=1.0)
Using Cosine Annealing Scheduler
Starting training...
Epoch 0, Train Loss: 0.153840, Val Loss:0.102159
Epoch 10, Train Loss: 0.040748, Val Loss:0.027194
Epoch 20, Train Loss: 0.037096, Val Loss:0.023632
Epoch 30, Train Loss: 0.034819, Val Loss:0.022605
Epoch 40, Train Loss: 0.033004, Val Loss:0.022510
Epoch 50, Train Loss: 0.032871, Val Loss:0.022195
Epoch 60, Train Loss: 0.032673, Val Loss:0.021694
Epoch 70, Train Loss: 0.032311, Val Loss:0.021772
Epoch 80, Train Loss: 0.031772, Val Loss:0.021874
Epoch 90, Train Loss: 0.031055, Val Loss:0.021836
Epoch 100, Train Loss: 0.031249, Val Loss:0.021608
Epoch 110, Train Loss: 0.031190, Val Loss:0.021866
Epoch 120, Train Loss: 0.030967, Val Loss:0.022009
Epoch 130, Train Loss: 0.030653, Val Loss:0.021666
Epoch 140, Train Loss: 0.030978, Val Loss:0.022092
Epoch 150, Train Loss: 0.030809, Val Loss:0.021978
Epoch 160, Train Loss: 0.031130, Val Loss:0.021951
Epoch 170, Train Loss: 0.030696, Val Loss:0.021994
Epoch 180, Train Loss: 0.030466, Val Loss:0.021696
Epoch 190, Train Loss: 0.030719, Val Loss:0.021835
Epoch 200, Train Loss: 0.031080, Val Loss:0.021697
Epoch 210, Train Loss: 0.030934, Val Loss:0.021902
Epoch 220, Train Loss: 0.030296, Val Loss:0.021795
Epoch 230, Train Loss: 0.030356, Val Loss:0.021809
Epoch 240, Train Loss: 0.029696, Val Loss:0.021772
Epoch 250, Train Loss: 0.030875, Val Loss:0.021835
Epoch 260, Train Loss: 0.030069, Val Loss:0.021803
Epoch 270, Train Loss: 0.029992, Val Loss:0.021884
Epoch 280, Train Loss: 0.030145, Val Loss:0.021860
Epoch 290, Train Loss: 0.030566, Val Loss:0.021840
Epoch 299, Train Loss: 0.030558, Val Loss:0.021841
