WandB initialized: prime-oath-10
Device: cuda
Dataset: beignet
Model Type: dlinear_gnn
Learning Rate: 0.001
Loading data...
Saved training stats to weights/stats_beignet_dlinear_gnn.npz
Train samples: 560
Val samples: 70
Computing Pearson Correlation Matrix...
Computed Pearson Matrix with shape: torch.Size([89, 89])
Initializing model (dlinear_gnn)...
Using WeightedMSELoss (alpha=1.0)
Using Cosine Annealing Scheduler
Starting training...
Epoch 0, Train Loss: 0.164119, Val Loss:0.103496
Epoch 10, Train Loss: 0.041976, Val Loss:0.028693
Epoch 20, Train Loss: 0.037011, Val Loss:0.024147
Epoch 30, Train Loss: 0.034656, Val Loss:0.023190
Epoch 40, Train Loss: 0.033560, Val Loss:0.022341
Epoch 50, Train Loss: 0.032859, Val Loss:0.022194
Epoch 60, Train Loss: 0.033087, Val Loss:0.022145
Epoch 70, Train Loss: 0.032184, Val Loss:0.021978
Epoch 80, Train Loss: 0.031645, Val Loss:0.022182
Epoch 90, Train Loss: 0.032016, Val Loss:0.021921
Epoch 100, Train Loss: 0.031586, Val Loss:0.021850
Epoch 110, Train Loss: 0.031216, Val Loss:0.021797
Epoch 120, Train Loss: 0.031471, Val Loss:0.021775
Epoch 130, Train Loss: 0.031431, Val Loss:0.021814
Epoch 140, Train Loss: 0.031234, Val Loss:0.021837
Epoch 149, Train Loss: 0.031117, Val Loss:0.021825
