WandB initialized: polished-dragon-11
Device: cuda
Dataset: affi
Model Type: amag
Learning Rate: 0.001
Loading data...
Saved training stats to weights/stats_affi.npz
Train samples: 788
Val samples: 99
Computing Pearson Correlation Matrix...
Computed Pearson Matrix with shape: torch.Size([239, 239])
Initializing model (amag)...
Using WeightedMSELoss (alpha=1.0)
Using Cosine Annealing Scheduler
Starting training...
Epoch 0, Train Loss: 0.081332, Val Loss:0.032327
Epoch 10, Train Loss: 0.023056, Val Loss:0.018914
Epoch 20, Train Loss: 0.020952, Val Loss:0.018439
Epoch 30, Train Loss: 0.020298, Val Loss:0.017356
Epoch 40, Train Loss: 0.020180, Val Loss:0.017242
Epoch 50, Train Loss: 0.020044, Val Loss:0.017307
Epoch 60, Train Loss: 0.019964, Val Loss:0.017052
Epoch 70, Train Loss: 0.019309, Val Loss:0.017545
Epoch 80, Train Loss: 0.019006, Val Loss:0.016777
Epoch 90, Train Loss: 0.018956, Val Loss:0.016950
Epoch 100, Train Loss: 0.018795, Val Loss:0.016905
Epoch 110, Train Loss: 0.018701, Val Loss:0.017028
Epoch 120, Train Loss: 0.018744, Val Loss:0.016820
Epoch 130, Train Loss: 0.018623, Val Loss:0.016755
Epoch 140, Train Loss: 0.018607, Val Loss:0.016777
Epoch 149, Train Loss: 0.018504, Val Loss:0.016771
