WandB initialized: breezy-haze-14
Device: cuda
Dataset: beignet
Model Type: dlinear_gnn
Learning Rate: 0.001
Loading data...
Saved training stats to weights/stats_beignet_dlinear_gnn.npz
Train samples: 560
Val samples: 70
Computing Pearson Correlation Matrix...
Computed Pearson Matrix with shape: torch.Size([89, 89])
Initializing model (dlinear_gnn)...
Using WeightedMSELoss (alpha=1.0)
Using Cosine Annealing Scheduler
Starting training...
Epoch 0, Train Loss: 0.132807, Val Loss:0.095143
Epoch 10, Train Loss: 0.039517, Val Loss:0.027178
Epoch 20, Train Loss: 0.036031, Val Loss:0.024013
Epoch 30, Train Loss: 0.033723, Val Loss:0.022791
Epoch 40, Train Loss: 0.032826, Val Loss:0.022461
Epoch 50, Train Loss: 0.032291, Val Loss:0.022423
Epoch 60, Train Loss: 0.032466, Val Loss:0.022230
Epoch 70, Train Loss: 0.031822, Val Loss:0.022087
Epoch 80, Train Loss: 0.031812, Val Loss:0.022018
Epoch 90, Train Loss: 0.031606, Val Loss:0.021865
Epoch 100, Train Loss: 0.031329, Val Loss:0.021818
Epoch 110, Train Loss: 0.030866, Val Loss:0.021893
Epoch 120, Train Loss: 0.030697, Val Loss:0.021865
Epoch 130, Train Loss: 0.031667, Val Loss:0.021817
Epoch 140, Train Loss: 0.030715, Val Loss:0.021815
Epoch 149, Train Loss: 0.031288, Val Loss:0.021802
