WandB initialized: silver-armadillo-16
Device: cuda
Dataset: beignet
Model Type: dlinear_gnn
Learning Rate: 0.001
Loading data...
Saved training stats to weights/stats_beignet_dlinear_gnn.npz
Train samples: 560
Val samples: 70
Computing Pearson Correlation Matrix...
Computed Pearson Matrix with shape: torch.Size([89, 89])
Initializing model (dlinear_gnn)...
Using WeightedMSELoss (alpha=1.0)
Using Cosine Annealing Scheduler
Starting training...
Epoch 0, Train Loss: 0.119892, Val Loss:0.078038
Epoch 10, Train Loss: 0.040132, Val Loss:0.026778
Epoch 20, Train Loss: 0.035380, Val Loss:0.023209
Epoch 30, Train Loss: 0.034083, Val Loss:0.022245
Epoch 40, Train Loss: 0.033783, Val Loss:0.022582
Epoch 50, Train Loss: 0.032635, Val Loss:0.021933
Epoch 60, Train Loss: 0.032260, Val Loss:0.021911
Epoch 70, Train Loss: 0.031660, Val Loss:0.021917
Epoch 80, Train Loss: 0.031648, Val Loss:0.021769
Epoch 90, Train Loss: 0.032098, Val Loss:0.021600
Epoch 100, Train Loss: 0.031498, Val Loss:0.021730
Epoch 110, Train Loss: 0.031512, Val Loss:0.021647
Epoch 120, Train Loss: 0.031413, Val Loss:0.021662
Epoch 130, Train Loss: 0.031722, Val Loss:0.021585
Epoch 140, Train Loss: 0.031423, Val Loss:0.021604
Epoch 149, Train Loss: 0.031811, Val Loss:0.021612
